"source_relative_path","extension","size_bytes","extraction_status","extraction_error","text_chars","top_area","top_score","second_area","second_score","margin","ratio","decision","suggested_area_refined","suggested_area_project","suggested_confidence","reason","top_hits","excerpt"
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\23.png",".png","844260","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\26.png",".png","1175819","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\31.png",".png","1042853","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\33.png",".png","1100514","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\34.png",".png","1320058","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\40.png",".png","1068594","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Cuadernillo adicional\Individuales\IMG\42.png",".png","1106364","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\Calendario B.pdf",".pdf","12058701","ok","","0","MATEMATICAS","0","LECTURA_CRITICA","0","0","0.00","KEEP_MULTI_AREA","MULTI_AREA","","baja","texto_insuficiente","",""
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG A\R. Primera Sesión_page-0001.jpg",".jpg","3875111","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG A\R. Primera Sesión_page-0007.jpg",".jpg","3272218","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG A\R. Primera Sesión_page-0018.jpg",".jpg","4261732","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG A\R. Primera Sesión_page-0022.jpg",".jpg","3558773","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG A\R. Primera Sesión_page-0026.jpg",".jpg","4397486","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG A\R. Primera Sesión_page-0028.jpg",".jpg","4644930","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG A\R. Primera Sesión_page-0029.jpg",".jpg","4546209","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG A\R. Primera Sesión_page-0030.jpg",".jpg","4056797","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG A\R. Primera Sesión_page-0034.jpg",".jpg","3634705","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG A\R. Primera Sesión_page-0035.jpg",".jpg","3681249","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG B\01.png",".png","1319875","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG B\10.png",".png","828080","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG B\12.png",".png","806396","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG B\15.png",".png","735790","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG B\19.png",".png","778718","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG B\20.png",".png","807232","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG B\25.png",".png","798028","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG B\27.png",".png","637740","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG B\28.png",".png","810236","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
"07. ICFES FILTRADOS\2025\Icfes Calendario A y B\IMG B\31.png",".png","484117","skipped","UNSUPPORTED_EXTENSION","0","","0","","0","0","0.00","UNSUPPORTED","MULTI_AREA","","baja","extension_no_soportada_para_extraccion","",""
